Description,Line Order,Account Codes
CHANGES IN INVENTORY,1,"20279100, 20279101, 20279102, 20279103, 20279104, 20279105, 20279106, 20279109, 20279111"
MUQB-01,2,
MUQB-01,3,
MUQB-11,1,
NOPROD,1,
